TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,54,51.1,90,29.85,10,Calm,Calm,-,N/A,,Clear,0,10/17/14 04:51
1:51 AM,53.1,48.9,86,29.86,10,Calm,Calm,-,N/A,,Clear,0,10/17/14 05:51
2:51 AM,52,48.9,89,29.86,10,Calm,Calm,-,N/A,,Clear,0,10/17/14 06:51
3:51 AM,51.1,48,89,29.87,10,WSW,3.5,-,N/A,,Clear,240,10/17/14 07:51
4:51 AM,50,46.9,89,29.86,10,Calm,Calm,-,N/A,,Clear,0,10/17/14 08:51
5:12 AM,-9999,-9999,90,-9999,-9999,SW,4.6,-,N/A,,Clear,220,10/17/14 09:12
5:51 AM,50,46.9,89,29.86,10,Calm,Calm,-,N/A,,Clear,0,10/17/14 09:51
6:51 AM,50,46.9,89,29.89,10,Calm,Calm,-,N/A,,Clear,0,10/17/14 10:51
7:51 AM,50,46.9,89,29.91,10,WSW,3.5,-,N/A,,Partly Cloudy,250,10/17/14 11:51
8:51 AM,55,48.9,80,29.92,10,Variable,3.5,-,N/A,,Partly Cloudy,0,10/17/14 12:51
9:51 AM,60.1,50,69,29.93,10,Calm,Calm,-,N/A,,Partly Cloudy,0,10/17/14 13:51
10:51 AM,64.4,50,59,29.93,10,West,3.5,-,N/A,,Partly Cloudy,280,10/17/14 14:51
11:51 AM,66.9,48.9,52,29.91,10,West,4.6,-,N/A,,Partly Cloudy,260,10/17/14 15:51
12:51 PM,70,50,49,29.89,10,WSW,8.1,-,N/A,,Partly Cloudy,240,10/17/14 16:51
1:51 PM,71.1,51.1,49,29.86,10,West,9.2,-,N/A,,Clear,260,10/17/14 17:51
2:51 PM,73,51.1,46,29.84,10,SW,10.4,-,N/A,,Partly Cloudy,230,10/17/14 18:51
3:51 PM,73,51.1,46,29.83,10,SW,11.5,-,N/A,,Partly Cloudy,230,10/17/14 19:51
4:51 PM,73.4,51.8,47,29.82,10,WSW,9.2,-,N/A,,Partly Cloudy,250,10/17/14 20:51
5:51 PM,71.1,53.1,53,29.81,10,SW,9.2,-,N/A,,Partly Cloudy,220,10/17/14 21:51
6:51 PM,63,53.1,70,29.81,10,WSW,4.6,-,N/A,,Partly Cloudy,240,10/17/14 22:51
7:51 PM,61,53.1,75,29.81,10,SSW,6.9,-,N/A,,Partly Cloudy,210,10/17/14 23:51
8:51 PM,60.1,53.1,78,29.81,10,WSW,3.5,-,N/A,,Partly Cloudy,240,10/18/14 00:51
9:51 PM,62.1,53.1,72,29.83,10,Calm,Calm,-,N/A,,Partly Cloudy,0,10/18/14 01:51
10:51 PM,59,52,78,29.82,10,SW,4.6,-,N/A,,Clear,220,10/18/14 02:51
11:51 PM,57,52,83,29.81,10,SW,4.6,-,N/A,,Clear,230,10/18/14 03:51
